"Severity","Freq","Map_ID"
"0",310,10001824
"1",2754,10001824
"2",42453,10001824
"5",105,10001824
"0",141,10081
"1",538,10081
"2",3936,10081
"3",2879,10081
"0",161,10082
"1",773,10082
"2",5146,10082
"3",2352,10082
"0",211,10088
"1",1031,10088
"2",10263,10088
"3",11414,10088
"4",128,10088
"0",212,9995
"1",2267,9995
"2",5702,9995
"3",5380,9995
"4",266,9995
"5",59,9995
"0",166,10104
"1",5629,10104
"2",7090,10104
"5",391,10104
"0",235,10084
"1",26093,10084
"2",11314,10084
"3",728,10084
"5",2487,10084
"0",295,10103
"1",10636,10103
"2",12725,10103
"3",1013,10103
"0",99,10098
"1",755,10098
"2",5438,10098
"3",61,10098
"5",62,10098
"0",118,10095
"1",385,10095
"2",2189,10095
"3",4130,10095
"5",99,10095
"6",1,10095
"0",95,10096
"1",509,10096
"2",2138,10096
"3",2484,10096
"5",15,10096
"0",185,10176
"1",1424,10176
"2",7181,10176
"3",6325,10176
"4",462,10176
"5",30,10176
"0",242,10266
"1",9218,10266
"2",3919,10266
"3",562,10266
"4",23,10266
"5",105,10266
"0",191,10178
"1",4199,10178
"2",5100,10178
"3",2465,10178
"4",220,10178
"0",211,10000
"1",10440,10000
"2",5851,10000
"3",8541,10000
"4",2905,10000
"5",1341,10000
"6",1,10000
"0",156,10263
"1",6356,10263
"2",982,10263
"3",133,10263
"5",945,10263
"0",91,10090
"1",998,10090
"2",5007,10090
"0",144,10264
"1",4443,10264
"2",3191,10264
"3",711,10264
"4",82,10264
"5",80,10264
"0",152,9996
"1",3753,9996
"2",3490,9996
"3",821,9996
"4",103,9996
"5",82,9996
"0",223,10001
"1",3571,10001
"2",8606,10001
"3",2690,10001
"4",225,10001
"5",9,10001
"0",130,10265
"1",2019,10265
"2",1841,10265
"3",595,10265
"4",75,10265
"5",365,10265
"0",298,10328
"1",10060,10328
"2",18473,10328
"3",3812,10328
"5",63,10328
"0",79,10083
"1",981,10083
"2",1698,10083
"3",2122,10083
"0",735,9999
"1",12778,9999
"2",96170,9999
"3",16243,9999
"5",6,9999
"0",125,10094
"1",748,10094
"2",8145,10094
"3",535,10094
"0",123,10093
"1",1188,10093
"2",2352,10093
"3",6474,10093
"4",1408,10093
"5",5,10093
"0",118,9997
"1",645,9997
"2",6468,9997
"3",2,9997
"0",435,10085
"1",604,10085
"2",15008,10085
"0",104,10005614
"1",393,10005614
"2",4538,10005614
"3",1366,10005614
"4",76,10005614
"0",91,10086
"1",307,10086
"2",3667,10086
"3",5431,10086
"4",10,10086
"5",5,10086
"0",64,10080
"1",269,10080
"2",1493,10080
"3",6200,10080
"4",2,10080
"6",62,10080
"0",91,10091
"1",939,10091
"2",2025,10091
"3",3004,10091
"4",256,10091
"5",5,10091
"0",154,9977
"1",1207,9977
"2",11005,9977
"3",3862,9977
"4",453,9977
"5",45,9977
"0",73,10089
"1",2447,10089
"2",1602,10089
"3",687,10089
"4",74,10089
"5",14,10089
"0",215,10092
"1",7605,10092
"2",18644,10092
"3",2931,10092
"5",127,10092
"0",118,10101
"1",750,10101
"2",6795,10101
"3",273,10101
"5",10,10101
"0",173,10102
"1",5155,10102
"2",2079,10102
"3",942,10102
"4",92,10102
"5",602,10102
"0",304,10099
"1",10750,10099
"2",21754,10099
"3",11419,10099
"4",1704,10099
"5",1719,10099
"0",138,10189
"1",5104,10189
"2",1851,10189
"3",1586,10189
"4",344,10189
"5",28,10189
"0",341,10079
"1",1075,10079
"2",3548,10079
"3",4561,10079
"4",467,10079
"0",201,10078
"1",9610,10078
"2",4463,10078
"3",1531,10078
"4",162,10078
"5",525,10078
"0",85,10965
"1",502,10965
"2",4401,10965
"3",62,10965
"0",111,10625
"1",369,10625
"2",2602,10625
"3",2964,10625
"4",13,10625
"5",1,10625
"0",230,10692
"1",5207,10692
"2",9665,10692
"3",367,10692
"4",3,10692
"5",11,10692
"0",108,10629
"1",458,10629
"2",3624,10629
"3",4467,10629
"4",13,10629
"0",551,10694
"1",9762,10694
"2",58897,10694
"3",8570,10694
"4",860,10694
"5",98,10694
"0",925,10695
"1",60145,10695
"2",113807,10695
"3",57397,10695
"4",28742,10695
"5",16313,10695
"0",218,10020055
"1",1868,10020055
"2",26367,10020055
"5",2,10020055
"0",706,10437
"1",2768,10437
"2",26857,10437
"5",23,10437
"0",90,10621
"1",1163,10621
"2",4474,10621
"3",33,10621
"5",13,10621
"0",145,10633
"1",1907,10633
"2",3217,10633
"3",2346,10633
"4",10,10633
"5",67,10633
"0",95,10635
"1",658,10635
"2",3889,10635
"3",82,10635
"5",14,10635
"6",32,10635
"0",225,10516
"1",2892,10516
"2",11395,10516
"3",2877,10516
"4",73,10516
"5",19,10516
"0",231,10722
"1",1812,10722
"2",3405,10722
"3",6522,10722
"4",5823,10722
"5",7,10722
"0",78,10020371
"1",1537,10020371
"2",1968,10020371
"3",984,10020371
"4",217,10020371
"5",4,10020371
"0",156,10721
"1",4484,10721
"2",5655,10721
"3",2018,10721
"4",669,10721
"5",106,10721
"6",1,10721
"0",1337,10697
"1",35810,10697
"2",67707,10697
"3",71665,10697
"4",20507,10697
"5",95,10697
"0",862,10698
"1",26645,10698
"2",49258,10698
"3",57888,10698
"4",30106,10698
"5",107,10698
"0",217,10700
"1",9655,10700
"2",7682,10700
"3",167,10700
"5",1,10700
"0",559,10430
"1",33920,10430
"2",15192,10430
"3",3634,10430
"4",13,10430
"5",72,10430
"0",129,10431
"1",1815,10431
"2",6022,10431
"3",4468,10431
"4",557,10431
"5",16,10431
"0",699,10436
"1",8721,10436
"2",18558,10436
"3",4366,10436
"4",232,10436
"5",230,10436
"0",445,10622
"1",41288,10622
"2",27375,10622
"3",7348,10622
"4",267,10622
"5",140,10622
"0",75,10623
"1",1205,10623
"2",2411,10623
"3",1098,10623
"4",42,10623
"5",1,10623
"0",684,10702
"1",36449,10702
"2",69955,10702
"3",38454,10702
"4",10910,10702
"5",276,10702
"6",3,10702
"0",165,10703
"1",6771,10703
"2",9908,10703
"3",3632,10703
"4",1556,10703
"5",51,10703
"0",137,10704
"1",3904,10704
"2",5076,10704
"3",2201,10704
"4",926,10704
"5",6,10704
"0",134,10705
"1",2013,10705
"2",2377,10705
"3",1352,10705
"4",1410,10705
"5",17,10705
"0",132,10706
"1",1552,10706
"2",4323,10706
"3",2355,10706
"4",515,10706
"5",45,10706
"6",1,10706
"0",135,10433
"1",1744,10433
"2",1715,10433
"3",3184,10433
"4",1821,10433
"5",69,10433
"0",71,10634
"1",2851,10634
"2",1949,10634
"3",545,10634
"4",4,10634
"5",32,10634
"0",539,10712
"1",4103,10712
"2",13758,10712
"3",4659,10712
"4",354,10712
"5",6,10712
"0",186,10713
"1",4221,10713
"2",5365,10713
"3",3948,10713
"4",1452,10713
"5",44,10713
"0",369,10714
"1",10213,10714
"2",12109,10714
"3",2281,10714
"4",46,10714
"5",23,10714
"6",100,10714
"0",413,10715
"1",30843,10715
"2",34677,10715
"3",7724,10715
"4",2705,10715
"5",81,10715
"0",102,10716
"1",5431,10716
"2",3935,10716
"3",2191,10716
"4",484,10716
"5",23,10716
"0",98,10717
"1",1884,10717
"2",2759,10717
"3",2586,10717
"4",996,10717
"5",115,10717
"0",102,10718
"1",4131,10718
"2",3723,10718
"3",1185,10718
"4",266,10718
"5",30,10718
"0",537,10719
"1",5508,10719
"2",14247,10719
"3",5378,10719
"4",413,10719
"5",15,10719
"6",121,10719
"0",298,10755
"1",21174,10755
"2",21972,10755
"3",9320,10755
"4",3602,10755
"5",258,10755
"0",168,10879
"1",8099,10879
"2",2830,10879
"3",733,10879
"4",6,10879
"5",201,10879
"0",877,10720
"1",55083,10720
"2",33769,10720
"3",15310,10720
"4",8133,10720
"5",9616,10720
"0",70,10693
"1",1117,10693
"2",1913,10693
"3",1788,10693
"4",1114,10693
"5",5,10693
"0",229,10707
"1",4254,10707
"2",6239,10707
"3",4823,10707
"4",3159,10707
"5",13,10707
"0",151,10640
"1",4952,10640
"2",4914,10640
"3",1404,10640
"4",164,10640
"5",13,10640
"0",146,10432
"1",2623,10432
"2",3972,10432
"3",2532,10432
"4",720,10432
"5",46,10432
"0",1143,10439
"1",61338,10439
"2",60976,10439
"3",39600,10439
"4",4910,10439
"5",2102,10439
"0",153,10627
"1",3362,10627
"2",6367,10627
"3",4019,10627
"4",288,10627
"5",71,10627
"0",262,10723
"1",1800,10723
"2",5776,10723
"3",6159,10723
"4",4738,10723
"5",111,10723
"0",343,10008028
"1",11033,10008028
"2",5777,10008028
"3",7406,10008028
"4",10957,10008028
"5",53,10008028
"6",146,10008028
"0",1659,10016158
"1",73771,10016158
"2",324248,10016158
"3",109597,10016158
"4",57452,10016158
"5",1125,10016158
"6",1,10016158
"0",181,10618
"1",2654,10618
"2",813,10618
"3",1774,10618
"4",3751,10618
"5",3,10618
"0",235,10617
"1",4409,10617
"2",37416,10617
"0",177,10878
"1",9722,10878
"2",6087,10878
"3",2984,10878
"4",228,10878
"5",1074,10878
"0",349,10887
"1",11673,10887
"2",14517,10887
"3",9918,10887
"4",3967,10887
"5",46,10887
"0",161,10426
"1",1404,10426
"2",5222,10426
"3",3854,10426
"4",127,10426
"5",7,10426
"0",234,10708
"1",2606,10708
"2",5004,10708
"3",8527,10708
"4",1286,10708
"5",3,10708
"0",143,10626
"1",435,10626
"2",2217,10626
"3",10549,10626
"4",3152,10626
"0",24,10429
"1",296,10429
"2",290,10429
"3",1048,10429
"4",875,10429
"0",1371,10709
"1",51074,10709
"2",108947,10709
"3",80699,10709
"4",46800,10709
"5",38,10709
"0",104,10853
"1",685,10853
"2",1596,10853
"3",5328,10853
"4",806,10853
"0",328,10881
"1",22986,10881
"2",12746,10881
"3",24073,10881
"4",2936,10881
"5",3,10881
"0",122,10428
"1",2471,10428
"2",6531,10428
"3",6851,10428
"4",163,10428
"5",36,10428
"0",100,10630
"1",1163,10630
"2",4309,10630
"3",1528,10630
"4",97,10630
"0",454,10690
"1",1954,10690
"2",9305,10690
"3",4984,10690
"4",4357,10690
"6",16,10690
"0",747,10691
"1",3359,10691
"2",7171,10691
"3",16538,10691
"4",5218,10691
"5",119,10691
"6",112,10691
"0",217,10710
"1",2445,10710
"2",1987,10710
"3",3890,10710
"4",7807,10710
"5",220,10710
"0",149,10711
"1",1048,10711
"2",689,10711
"3",1514,10711
"4",5441,10711
"5",42,10711
"0",151,10425
"1",1473,10425
"2",1008,10425
"3",4047,10425
"4",3605,10425
"5",6,10425
"0",167,10619
"1",2484,10619
"2",1047,10619
"3",51,10619
"4",1,10619
"5",1413,10619
"0",354,10639
"1",3839,10639
"2",1807,10639
"3",317,10639
"4",29,10639
"5",8644,10639
"0",804,10689
"1",2469,10689
"2",8933,10689
"3",13573,10689
"4",5701,10689
"5",83,10689
"0",249,10699
"1",3302,10699
"2",3227,10699
"3",5285,10699
"4",6374,10699
"5",210,10699
"0",377,10696
"1",19172,10696
"2",16842,10696
"3",17669,10696
"4",8734,10696
"5",233,10696
"6",3233,10696
"0",70,10884
